year,Index offense rate,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
1960,85967.3,5743.3,261.3,402.2,1900.6,3179.3,80224,21174.4,50819.7,8229.7
1961,86483.2,5644.5,240.3,383.9,1901.1,3118.9,80838.5,21868.1,50614.2,8356
1962,90297.2,5727.6,225.1,395.1,1930.4,3177.6,84568.8,22422.8,53144.9,9001.2
1963,97197,6044.1,227.6,392.6,2038.6,3385.1,91153.5,24609.3,56678.5,9866
1964,108533.3,7425.3,243,491.7,2260.9,4430.5,101108,27469.9,62751.8,10885.9
1965,112090.4,7950.8,249.9,514.7,2527.8,4657.9,104139.5,28757.2,64096.3,11285.9
1966,122990.8,8843.1,283.6,568.2,2915.6,5076.5,114147.6,31697.2,69588.1,12862.2
1967,137406.3,10264.4,302.9,593.5,3787.6,5581.5,127141.6,36553.7,75852.4,14735.3
1968,153574.7,12045.4,328.4,696.5,4940.9,6079.6,141529.9,41311.8,83070.5,17146.9
1969,169615.3,13805.2,350.5,862.9,5941.8,6649.5,155810.3,44604,92222.4,18983.9
1970,354170.1,28852,711.2,1735.8,12552.8,13851.3,325318,93554.5,192999.4,38764.3
1971,194358.1,16544,404.1,976.9,6982.9,8179.4,177813.8,52164.5,105829.8,19819.9
1972,187876.5,16637.7,412.3,1065.7,6518,8642,171238.7,51679.8,101295.7,18263.3
1973,199165.1,17442.8,428,1148.1,6765.3,9101.4,181722.3,56423,106177.7,19121.7
1974,232361.5,19268.3,458.5,1214.2,7938.4,9656.8,213092.6,67186.1,125503.7,20403.6
1975,252677.1,20612,446,1229.6,8484.4,10451.1,232065.7,70938.8,140365.2,20761.6
1976,250995.3,19569.2,395.7,1246.2,7392.3,10534.9,231426.2,66765.9,145374.9,19285.2
1977,243351.8,20973.6,404.8,1423,7462.8,11683.1,225834.2,66896.3,138981,19957
1978,247195.3,20973.6,404.8,1423,7462.8,11683.1,225834.2,66896.3,138981,19957
1979,268740.4,23207.1,429.8,1623.8,8297.7,12855.2,245533.1,70233.2,153418.1,21882.2
1980,284957.5,24746.2,440,1676.2,9478.1,13151.7,260211.2,77529.9,161449.1,21232.2
1981,281677.3,24953.4,430.3,1689.5,9898.4,12934.8,256724.2,76196.1,160671.5,19856.1
1982,267697.8,23988.6,402.8,1603.9,9061.9,12920.2,243709,68501.8,156515.9,18691.7
1983,246739.1,22418.6,361.8,1618.3,8073.3,12364.9,224320.1,61761.3,145224.2,17334.4
1984,238451.6,22371.7,337.5,1696.2,7461.9,12875.5,216080.4,58165.5,140415.3,17499.6
1985,245562.2,22974.7,340.7,1721.1,7449.4,13463,222587.5,59331.8,144673.8,18581.7
1986,259109.9,23878.8,362.5,1737.3,7410.3,14368.7,235230.8,61149.7,153343.8,20737.5
1987,258783.9,23868.8,359.2,1746.8,7407.8,14354.9,234914.9,61049.9,153157.7,20707.5
1988,261194.5,25239.2,382.2,1757.2,7789.8,15310.7,235955.3,59859.6,153702.6,22393.6
1989,263939,26296.4,401.2,1827.7,8253.8,15813.3,237643.6,58098.3,155612.7,23933.1
1990,270638,29162.5,430.5,2030.3,8985.3,17716,241475.6,57054.1,159411.5,25010
1991,273951.8,30355.4,445.7,2105,9636.3,18168.4,243596.5,57992.5,160673.3,24931
1992,265662.5,30948.5,426.2,2171.5,9452.6,18898.7,234713.8,53834.7,156607.6,24272
1993,260297,31319.6,445.1,2122.3,9396.9,19354.7,228977.6,51275.7,154000.3,23701.2
1994,259223.9,30306.4,423.5,2020.8,9010.9,18851,228917.8,49344.5,155317.3,24255.2
1995,261782.8,29632.8,401.6,1932.7,8873.8,18424,232150.4,48014.4,159749.7,24385.9
1996,252852.1,27762,385.1,1877.3,8278.7,17222.9,225090.4,46167.6,155550.6,23373.2
1997,245527.3,26679.4,348.4,1878.7,7550,16903,218848,44987.1,151201.2,22659.3
1998,231199.3,25110.7,323.1,1814.9,6720.2,16252.7,206088.5,42381.8,142960.2,20746.4
1999,213378.1,23419.7,298.9,1784.5,6178.3,15157.1,189959.1,37799,132751.1,19408.7
2000,206264.2,22519.1,272,1732.2,5989.7,14525,183744.9,35810.8,129078,18856.4