Year,Ukraine,UK,USA,Canada,China,Russia,India,Japan,France,Germany
1850,,122.6048,19.7929,0.0586,,,,,19.6171,15.1396
1851,,116.6544,24.6331,0.0696,,,,,20.0384,16.8691
1852,,116.2404,26.7912,0.0843,,,,,21.57,19.1737
1853,,115.5992,30.162,0.1026,,,,,25.3402,20.7602
1854,,139.3016,33.1592,0.1246,,,,,29.2131,24.3656
1855,,130.4421,38.1606,0.1502,,,,,33.0713,28.6158
1856,,140.3752,40.0365,0.1795,,,,,34.6321,30.9242
1857,,137.8617,41.0551,0.2162,,,,,35.2807,32.9394
1858,0.0867,135.1137,41.6487,0.2638,,0.2978,0.436,,34.5955,35.6104
1859,0.0919,150.0152,45.32,0.3151,,0.3159,0.7035,,34.9949,33.8077
1860,0.1215,167.9504,47.4341,0.3811,,0.4174,0.7108,,38.1349,36.3945
1861,0.1549,175.0439,45.6791,0.458,,0.5325,0.5496,,41.242,41.3299
1862,0.1392,169.471,47.4525,0.5606,,0.4784,0.6082,,43.5247,45.5399
1863,0.1458,180.2248,54.8098,0.6998,,0.5009,0.6742,,44.1878,49.3834
1864,0.1635,193.9062,58.657,0.8427,,0.5618,0.6375,,46.8296,56.6418
1865,0.1563,205.4881,58.8219,1.0186,,0.537,0.6265,,49.3028,63.4678
1866,0.4937,211.7316,59.2322,1.2421,,1.6968,0.7072,,53.5604,62.9072
1867,0.5659,217.3741,72.8623,1.5938,,1.945,,,54.2785,69.1543
1868,0.4714,213.2192,82.3521,0.9453,,1.6201,,0.011001,55.5279,74.3682
1869,0.6395,223.7055,93.6958,0.6852,,2.1977,,0.018335,56.9422,77.5925
1870,0.694,228.498,98.6202,1.2238,,2.385,,0.018335,50.5376,76.6362
1871,0.9369,242.0365,103.0207,1.777,,3.2199,,0.025669,50.2628,85.3492
1872,0.9618,254.9888,126.3054,1.843,,3.3056,,0.033003,60.925,92.113
1873,0.9027,264.658,139.5068,1.6085,,3.1025,,0.040337,65.8494,98.3674
1874,1.0964,257.1872,134.2966,1.6195,,3.7682,,0.58672,62.6434,71.5946
1875,1.2612,271.4914,135.7475,1.8723,,4.3345,,1.441131,65.2595,101.5184
1876,1.5659,271.0188,132.8237,1.854,,5.3815,,1.404461,65.3548,103.4347
1877,1.5974,275.8992,147.1792,2.0225,,5.4898,,1.290784,63.9221,101.3023
1878,2.0885,270.9748,143.9036,1.9346,,7.1775,1.9529,1.859169,65.2265,104.5449
1879,2.143,272.6456,175.469,2.1801,,7.3648,1.854,2.317544,67.4982,110.847
1880,2.5139,297.1248,198.6841,5.2322,,8.6397,2.0738,2.350547,76.1489,124.5027
1881,2.6485,312.312,210.1927,5.5913,,9.1022,2.0189,2.416553,77.9846,134.2636
1882,2.789,314.9648,235.3937,6.6172,,9.5851,2.4036,2.515562,82.3081,143.6654
1883,3.1744,327.7301,253.8859,7.4306,,10.9096,2.682,2.71358,86.3202,153.0929
1884,3.223,319.0941,267.5892,8.5994,,11.0766,2.9862,2.959269,82.909,157.5264
1885,3.5105,315.2909,272.1619,8.244,,12.0649,2.6967,3.351638,79.714,161.1867
1886,3.6005,312.4293,287.4628,8.7973,,12.374,3.0265,3.608328,79.0728,163.0333
1887,3.8106,320.4424,307.3803,10.1493,,13.096,3.3562,4.477407,83.2937,170.3907
1888,3.9734,333.1675,373.8746,13.3113,,13.6556,3.7263,5.174137,86.6536,186.3474
1889,4.2925,345.0242,335.5418,11.2888,,14.7522,4.3785,6.259569,88.797,198.8453
1890,4.8604,353.0191,401.7503,12.4136,,16.704,4.8292,6.761948,97.8178,208.2324
1891,5.3515,360.4716,427.4239,13.9415,,18.3917,5.1992,8.129739,97.9827,220.8439
1892,5.6653,353.0081,450.4485,13.8902,,19.4703,5.7158,8.082068,98.1219,214.9925
1893,6.6396,316.2105,454.0942,14.8539,,22.8188,6.0163,8.58078,96.3302,220.712
1894,6.7617,362.0985,425.046,14.1833,,23.2384,6.1335,11.034003,101.8995,229.4946
1895,7.7708,365.5463,479.951,13.5312,,26.7065,7.6797,12.236779,102.7789,238.2809
1896,7.91,375.9777,480.8853,14.6487,,27.1849,8.31,12.926175,106.2816,256.2638
1897,9.1457,385.9694,500.2899,14.7989,,31.4314,8.9988,13.553232,111.261,273.5542
1898,10.2572,386.8818,545.3204,15.7112,,35.2514,9.9734,17.260569,115.0459,285.3743
1899,11.8992,414.5523,625.5327,19.1664,,40.8946,10.9883,17.286238,120.3001,303.2803
1900,13.4795,419.7405,662.737,20.6247,,46.3257,13.0512,19.427766,129.2769,326.7592
1901,13.8386,410.7014,721.5259,23.8453,,47.56,14.3959,23.292784,125.0047,325.5574
1902,13.3659,426.6398,764.4936,25.648,0.0953,45.9354,15.8798,24.964936,117.6657,319.1857
1903,13.0744,429.9851,894.4044,27.96,1.9639,44.9335,16.1656,25.808346,129.3429,343.5953
1904,14.5464,431.9929,880.2247,33.0969,2.0885,49.9923,18.0672,29.075643,125.9976,356.1261
1905,12.9845,437.6721,984.4985,35.3869,2.2973,44.6244,18.4739,29.955723,127.4266,382.3237
1906,14.8103,453.3504,1033.3396,37.3911,17.1109,50.8994,21.3428,32.881989,136.5683,361.9409
1907,16.5889,473.5683,1201.8067,46.9908,16.8397,57.0119,23.816,35.100524,145.5964,442.1825
1908,16.6913,461.9644,1050.9744,47.4085,22.7315,57.3639,27.2492,37.663757,146.7139,446.6416
1909,17.6183,466.0864,1163.353,45.386,20.8372,60.5499,26.3185,38.565839,150.0958,445.5754
1910,17.2789,469.7321,1269.2279,51.6184,18.7487,59.3834,25.6956,40.168318,150.6087,445.3665
1911,17.9144,481.3507,1256.3856,60.2655,27.8464,61.5676,27.1136,44.950086,156.9071,458.5862
1912,20.2931,455.8859,1341.2109,67.271,9.7865,69.7424,31.2173,49.918871,158.5779,499.1211
1913,22.0454,498.3223,1440.1132,79.2816,10.7575,75.7647,34.4379,54.861987,171.1125,535.0832
1914,19.8959,483.1827,1315.6984,68.3776,15.1067,68.3773,34.7127,58.444646,118.3509,497.9266
1915,18.2618,489.4811,1365.2687,61.1192,16.0886,62.7612,36.2773,53.266842,103.2332,462.9061
1916,19.4632,507.072,1516.2585,76.453,17.9646,66.8904,36.684,58.899354,109.6892,500.6966
1917,17.9131,501.1656,1668.4684,85.2466,19.8516,61.563,38.3584,67.769827,121.6045,524.5749
1918,7.1438,466.8486,1745.5846,89.5188,21.0424,24.5517,43.1583,71.8732,108.4507,503.4226
1919,6.1019,456.1314,1476.9511,76.0903,24.2557,20.9708,47.1264,79.669242,116.1378,387.4277
1920,5.5642,470.0143,1736.0985,84.3746,26.7692,19.1228,38.1606,74.788465,151.7775,429.2083
1921,6.0349,319.8049,1421.9728,80.4834,25.2889,20.7406,41.0441,67.28945,137.9056,473.18
1922,7.3599,428.2227,1433.3238,69.2056,26.6336,25.294,40.3919,72.184895,163.1506,455.4608
1923,8.1293,454.8893,1894.0095,92.9813,32.1516,27.9385,41.5754,76.852986,184.1893,331.9328
1924,9.6853,475.9829,1695.5929,77.3837,35.0938,33.2861,44.5066,80.677667,206.6349,451.7895
1925,9.5593,449.6534,1740.8946,75.2439,33.2215,32.8529,43.9204,83.556262,213.8274,458.066
1926,13.8504,246.371,1888.5355,84.7556,29.5905,47.6006,43.7921,84.263993,213.7358,413.2406
1927,17.2192,466.735,1844.8387,92.003,33.5293,59.178,45.9319,91.730005,213.0396,481.0466
1928,19.1254,437.6575,1827.7901,93.7837,34.1192,65.7569,44.1988,96.805133,211.6363,504.8882
1929,20.5953,460.693,1960.3353,99.0416,35.8193,70.8154,45.9942,99.874412,234.3055,538.9707
1930,28.0002,441.098,1742.2137,94.359,37.9224,96.2751,46.7563,92.88511,237.6544,461.7336
1931,33.6393,412.2366,1483.0773,75.8558,40.26,115.6584,42.8248,86.060823,217.5134,385.5994
1932,37.9005,395.9208,1256.4076,70.2059,38.6002,130.3052,39.8167,87.116919,191.7994,347.3179
1933,42.36,392.1726,1347.1832,69.4841,42.2203,145.6204,39.0876,98.576294,199.4059,364.8538
1934,51.238,423.225,1434.3864,79.9118,49.2735,176.1437,43.6456,110.050337,201.3698,408.6459
1935,57.997,429.1313,1490.2587,78.798,57.6237,199.3862,45.6021,117.028638,195.3938,452.3684
1936,66.5031,453.8194,1710.696,86.1663,65.0397,228.6394,44.818,116.969966,198.1015,499.6853
1937,68.0031,468.1639,1789.5599,93.487,60.5732,233.789,49.6435,125.55808,217.7222,563.5635
1938,71.7742,448.9682,1513.4225,85.5471,55.3044,246.753,55.5756,131.86532,201.7948,601.3357
1939,72.6553,452.4564,1667.8601,95.0039,67.1575,249.781,54.3994,127.871957,194.617,648.6819
1940,87.1075,475.1475,1871.4906,108.6229,86.104,299.4511,57.697,153.386943,137.7371,654.3648
1941,76.5253,469.6772,2039.2139,120.1572,107.6153,263.0828,58.9574,154.754734,119.9227,660.8354
1942,52.6771,468.9297,2193.8933,131.0796,113.8698,181.0383,58.8988,147.930447,122.5058,667.9289
1943,67.2452,454.8453,2267.1843,138.0705,97.3048,231.1051,51.2923,150.776039,125.2538,679.4632
1944,62.9783,442.0396,2440.3816,140.4081,97.8618,216.4409,52.4575,140.105069,79.9924,600.2731
1945,66.6719,417.641,2355.3401,130.5263,50.3544,229.1611,58.1953,77.839409,107.172,116.0645
1946,74.9232,436.1552,2253.0302,138.4332,31.2759,257.542,57.4992,53.717883,165.2574,271.6929
1947,90.2192,461.3013,2480.7662,143.5555,33.5916,310.1308,58.5984,72.771615,183.636,317.6725
1948,95.9993,475.5982,2577.0488,158.512,23.849,330.0218,58.6203,91.443979,196.526,377.8427
1949,109.1274,485.1466,2159.9903,145.0358,59.3092,375.1599,61.8813,98.579961,229.0769,432.1871
1950,121.637,500.4364,2492.8207,154.1408,78.6478,418.1886,66.6042,102.559,202.3041,510.7323
1951,131.8262,544.8331,2569.6658,162.6926,101.7236,453.2339,69.7223,123.4841,228.7618,576.9151
1952,141.1644,528.4294,2499.4013,159.4206,128.2217,485.3518,73.4962,130.4384,227.0214,611.0453
1953,149.3447,540.0883,2562.1289,159.3547,134.1061,513.4924,74.8775,145.8052,214.5858,623.5615
1954,163.1054,552.7107,2444.1005,162.982,161.26,560.8286,78.7394,142.5772,226.3912,659.8095
1955,184.9462,576.6403,2680.0768,167.3972,190.8907,635.9405,85.4408,141.9177,239.0247,723.5814
1956,202.7748,574.0096,2806.3712,186.5013,216.3482,697.2476,88.4563,160.6884,268.5456,766.278
1957,221.8952,570.3969,2785.054,178.642,256.3444,763.0182,99.2358,188.1317,277.548,778.0028
1958,236.8409,555.9351,2706.8276,178.0411,525.381,814.4467,103.7278,181.2214,266.2079,756.4694
1959,248.9983,546.5003,2792.873,181.3497,721.1595,856.3082,109.7331,192.6898,261.9467,755.9015
1960,259.231,583.8218,2858.0153,189.5314,780.0876,891.573,120.4833,232.5907,270.9968,814.0675
1961,267.3249,588.4567,2849.9508,190.0297,551.6152,919.467,130.2918,282.8828,280.9775,834.9743
1962,280.5581,592.8755,2961.842,202.4067,439.9988,965.04,143.31,292.9808,298.4621,883.3098
1963,300.8817,603.3289,3096.0287,206.4041,436.3348,1034.9405,153.822,324.9565,333.7464,945.6381
1964,319.9873,607.8539,3234.9163,233.3748,436.5619,1100.6588,150.0445,359.028,345.0169,969.073
1965,339.4364,622.1106,3370.9606,247.7377,475.5835,1167.6085,165.0815,386.6033,351.5645,960.2648
1966,358.453,618.0582,3538.7315,254.8642,522.3655,1233.0742,170.7937,419.3961,346.9515,951.5848
1967,374.8118,592.0364,3666.301,277.482,432.8796,1289.3644,170.6435,489.4848,371.7055,936.3865
1968,385.3425,606.2235,3800.4034,298.9934,468.545,1325.5958,185.8124,562.1089,384.317,984.9528
1969,401.3127,626.8664,3993.1408,302.6757,576.7649,1380.5147,189.3042,653.4268,412.9218,1052.1726
1970,422.1018,649.5722,4299.1141,336.4028,770.9862,1452.0407,193.5618,768.1539,438.6504,1026.2095
1971,444.1152,629.8192,4324.3966,344.25,791.6053,1527.7687,188.4333,780.2761,437.6352,1002.8487
1972,467.7305,611.0915,4565.2128,362.3404,842.831,1608.9862,196.092,821.5346,453.5052,1027.5355
1973,487.0234,644.0488,4729.6395,380.6007,876.5976,1675.3666,195.5082,936.3763,489.4945,1077.4273
1974,505.3978,603.9132,4576.4581,390.4299,894.1576,1738.5968,210.4992,922.1212,472.4843,1048.9086
1975,531.0515,584.3362,4386.4877,381.9947,1044.2538,1826.8624,225.2201,882.1962,437.6939,995.4523
1976,551.153,589.8329,4649.5158,393.9362,1095.8671,1895.978,241.3976,910.3101,477.5587,1052.643
1977,569.6717,600.4817,4816.8593,406.3235,1240.6092,1959.663,245.9571,937.1958,463.0665,1036.2365
1978,589.0144,598.8926,4808.7905,408.1806,1404.2907,2026.1377,239.1562,937.6372,481.7035,1075.7207
1979,597.181,631.0525,4838.1847,423.0824,1432.9632,2054.1471,258.1114,961.2418,488.7629,1123.8108
1980,620.867,577.8593,4636.6085,430.3564,1403.5947,2135.5796,274.614,914.0588,469.5621,1071.6034
1981,609.0699,568.2966,4571.4946,410.5364,1398.4675,2095.0665,303.0041,888.5216,421.0961,1037.9188
1982,620.6905,547.7696,4354.7367,392.4696,1460.2872,2134.9532,323.416,860.0887,402.5192,995.6498
1983,629.691,546.5541,4331.4854,385.8993,1541.6914,2170.3629,345.4835,866.1277,386.0321,997.4397
1984,635.4378,528.7738,4526.5499,402.5294,1679.1451,2190.2194,378.5808,925.6664,372.7118,1016.173
1985,685.3741,554.7913,4554.6583,403.3743,1696.7093,2362.1562,399.7088,902.1492,363.4321,1023.2004
1986,687.7325,568.602,4519.0824,395.34,1789.7651,2369.6931,434.2663,901.4315,353.2365,1026.4777
1987,717.1428,573.4796,4675.3026,407.4728,1919.7079,2470.454,467.9975,906.8338,346.7795,1016.2053
1988,733.1839,573.2393,4884.7478,437.4769,2076.864,2530.2066,494.9886,975.2242,346.0578,1009.2083
1989,717.8429,559.9713,4947.3487,452.8193,2144.6483,2477.2907,534.1815,1004.0251,362.5299,986.4232
1990,700.2079,555.0343,4846.4523,429.4524,2180.5838,2207.2066,564.8382,1082.6554,358.6538,959.07
1991,662.6645,570.3586,4808.8392,422.1685,2313.0267,2180.6629,608.9425,1088.2812,383.3987,935.9649
1992,575.7774,552.895,4881.8852,433.2944,2435.1576,2009.2208,630.343,1098.1753,369.745,897.1822
1993,500.2246,540.3762,5002.2481,430.7904,2669.3172,1824.4439,653.2915,1089.8927,351.0169,890.8779
1994,416.2192,535.0424,5075.7632,447.9396,2795.5539,1614.7462,688.6269,1140.8671,346.2009,878.5926
1995,399.4986,523.7731,5128.1286,458.5988,3124.2287,1566.1781,743.8814,1152.8119,353.3522,874.2143
1996,346.3288,544.1971,5285.3142,472.8616,3116.8525,1535.2336,782.3093,1167.7661,369.1343,903.7365
1997,328.2492,521.7885,5452.9136,488.9129,3161.5961,1427.874,825.2656,1160.3747,360.7762,873.6245
1998,309.1746,525.0102,5463.3949,496.4408,3266.7809,1419.3059,840.6924,1126.3275,382.0969,865.9095
1999,305.9856,522.7319,5488.2827,505.3413,3185.4882,1456.9404,905.4439,1165.9829,376.566,835.5509
2000,297.6454,530.7054,5692.3296,526.8303,3383.6875,1490.3636,942.1554,1181.6503,374.5857,832.5623
2001,300.8509,544.7835,5655.6815,518.6948,3572.0973,1492.0709,958.9096,1169.0059,377.9655,850.0909
2002,304.5577,528.4689,5586.8529,524.7524,3858.5704,1493.1684,994.2326,1204.5236,372.084,835.9229
2003,336.3881,540.5829,5661.8808,544.731,4482.1984,1523.7488,1017.5585,1210.1157,377.9439,839.5118
2004,311.9681,541.297,5742.5007,536.5526,5207.5749,1535.7427,1095.019,1205.9232,379.3961,822.786
2005,300.0012,539.7465,5759.2253,545.5907,5890.7037,1532.5246,1153.7488,1212.3681,381.0236,804.3994
2006,308.3644,541.0906,5658.6235,535.0396,6529.1685,1592.5568,1232.0898,1197.192,372.1602,818.1427
2007,315.3846,528.5876,5742.1641,567.2014,7146.846,1593.4523,1351.1329,1240.1671,363.9729,785.5881
2008,302.2243,514.3526,5564.6861,552.9985,7306.1056,1615.9137,1439.2974,1151.8979,359.5531,793.5254
2009,254.1702,464.4325,5161.4282,522.0435,7845.4218,1497.186,1617.0823,1087.2478,342.3648,737.1592
2010,270.9819,482.1055,5389.8354,534.8359,8614.9599,1585.2706,1705.6922,1137.4973,348.9176,775.0646
2011,284.6995,443.8791,5256.9907,544.8185,9510.9401,1664.3526,1800.1119,1191.2801,320.0533,749.3947
2012,278.7141,467.9955,5080.5159,546.7476,9722.2218,1581.5646,1925.3021,1236.0848,320.5742,762.2902
2013,269.655,455.8532,5156.3513,558.8473,10183.7325,1596.0093,1993.5169,1258.2012,326.1068,780.9384
